team_name,Malaga,WBA,Benevento,Metz,Koln
0,0,1.205987629,0.419112099,0.86507239,1.381821142
1,0,0.533570121,0.874291094,0.998570924,1.451324028
2,1.10246295,0.32345553,0.398505593,0.162800932,1.541088823
3,0,0.330276823,0.033246978,0.595469833,0.855595425
4,0.863823917,0.792951399,0.637243384,1.477944341,0.761207337
5,0.869469984,1.814252602,1.52227007,1.382464806,1.215368691
6,0.069644135,0.713120846,0.536647738,2.158376327,1.420940018
7,0.909744241,1.044760462,0.860640218,1.511820066,2.148869395
8,0.208932406,2.317159375,1.702547187,2.254202073,2.327994661
9,0.123540239,1.994062909,0.954523979,2.024934387,1.994726725
10,0,0.050218586,0.033246978,0.162800932,0.146208147